date,store_id,store_name,lat,lon,total_sales,ice_sales,hot_sales,transactions
2025-07-01,gangnam,강남점,37.4979,127.0276,613870,255370,358500,134
2025-07-02,gangnam,강남점,37.4979,127.0276,774811,321702,453109,167
2025-07-03,gangnam,강남점,37.4979,127.0276,872165,475155,397010,184
2025-07-04,gangnam,강남점,37.4979,127.0276,899748,374295,525453,194
2025-07-05,gangnam,강남점,37.4979,127.0276,910426,500370,410056,193
2025-07-06,gangnam,강남점,37.4979,127.0276,1106410,616049,490361,235
2025-07-07,gangnam,강남점,37.4979,127.0276,941115,533048,408067,200
2025-07-08,gangnam,강남점,37.4979,127.0276,949409,552936,396473,204
2025-07-09,gangnam,강남점,37.4979,127.0276,803088,469003,334085,171
2025-07-10,gangnam,강남점,37.4979,127.0276,971961,574623,397338,205
2025-07-11,gangnam,강남점,37.4979,127.0276,933038,549373,383665,201
2025-07-12,gangnam,강남점,37.4979,127.0276,832868,492392,340476,176
2025-07-13,gangnam,강남점,37.4979,127.0276,950728,524041,426687,200
2025-07-14,gangnam,강남점,37.4979,127.0276,663403,265361,398042,143
2025-07-15,gangnam,강남점,37.4979,127.0276,650291,245550,404741,137
2025-07-16,gangnam,강남점,37.4979,127.0276,672162,251120,421042,144
2025-07-17,gangnam,강남점,37.4979,127.0276,633039,247645,385394,135
2025-07-18,gangnam,강남점,37.4979,127.0276,604996,241514,363482,128
2025-07-19,gangnam,강남점,37.4979,127.0276,690535,280633,409902,150
2025-07-20,gangnam,강남점,37.4979,127.0276,877909,477582,400327,189
2025-07-21,gangnam,강남점,37.4979,127.0276,911416,382066,529350,194
2025-07-22,gangnam,강남점,37.4979,127.0276,704780,385092,319688,150
2025-07-23,gangnam,강남점,37.4979,127.0276,853990,472086,381904,180
2025-07-24,gangnam,강남점,37.4979,127.0276,956420,535595,420825,199
2025-07-25,gangnam,강남점,37.4979,127.0276,728260,427052,301208,159
2025-07-26,gangnam,강남점,37.4979,127.0276,1029771,609624,420147,219
2025-07-27,gangnam,강남점,37.4979,127.0276,1093335,657750,435585,230
2025-07-28,gangnam,강남점,37.4979,127.0276,788537,473753,314784,166
2025-07-29,gangnam,강남점,37.4979,127.0276,955826,582672,373154,202
2025-07-30,gangnam,강남점,37.4979,127.0276,943267,562942,380325,204
2025-07-31,gangnam,강남점,37.4979,127.0276,916925,536951,379974,195
2025-08-01,gangnam,강남점,37.4979,127.0276,774105,458270,315835,161
2025-08-02,gangnam,강남점,37.4979,127.0276,979693,582330,397363,210
2025-08-03,gangnam,강남점,37.4979,127.0276,998001,560477,437524,210
2025-08-04,gangnam,강남점,37.4979,127.0276,666929,373480,293449,145
